video_id 	timestamp	vote	id	createdAt	updatedAt
 T-D1KVIuvjA 	2	1	1	 2013-12-21 22:55:42.606+00 	 2013-12-21 22:55:42.609+00
 T-D1KVIuvjA 	43	-1	2	 2013-12-21 22:56:23.938+00 	 2013-12-21 22:56:23.938+00
 T-D1KVIuvjA 	0	1	3	 2013-12-22 03:46:44.175+00 	 2013-12-22 03:46:44.178+00
 T-D1KVIuvjA 	2	1	4	 2013-12-22 03:46:50.331+00 	 2013-12-22 03:46:50.331+00
 T-D1KVIuvjA 	5	1	5	 2013-12-22 03:46:53.979+00 	 2013-12-22 03:46:53.98+00
 T-D1KVIuvjA 	7	1	6	 2013-12-22 03:46:55.654+00 	 2013-12-22 03:46:55.654+00
 T-D1KVIuvjA 	8	-1	7	 2013-12-22 03:46:56.687+00 	 2013-12-22 03:46:56.688+00
 T-D1KVIuvjA 	10	-1	8	 2013-12-22 03:46:58.313+00 	 2013-12-22 03:46:58.313+00
 T-D1KVIuvjA 	11	1	9	 2013-12-22 03:46:59.554+00 	 2013-12-22 03:46:59.554+00
 T-D1KVIuvjA 	12	1	10	 2013-12-22 03:47:00.235+00 	 2013-12-22 03:47:00.236+00
 T-D1KVIuvjA 	12	1	11	 2013-12-22 03:47:00.958+00 	 2013-12-22 03:47:00.959+00
 T-D1KVIuvjA 	13	1	12	 2013-12-22 03:47:01.974+00 	 2013-12-22 03:47:01.974+00
 T-D1KVIuvjA 	0	-1	13	 2013-12-22 05:48:57.088+00 	 2013-12-22 05:48:57.09+00
 T-D1KVIuvjA 	0	-1	14	 2013-12-22 05:48:57.504+00 	 2013-12-22 05:48:57.504+00
 T-D1KVIuvjA 	1	-1	15	 2013-12-22 05:48:57.97+00  	 2013-12-22 05:48:57.971+00
 T-D1KVIuvjA 	1	-1	16	 2013-12-22 05:48:58.442+00 	 2013-12-22 05:48:58.444+00
 T-D1KVIuvjA 	2	1	17	 2013-12-22 05:48:58.934+00 	 2013-12-22 05:48:58.935+00
 T-D1KVIuvjA 	2	1	18	 2013-12-22 05:48:59.355+00 	 2013-12-22 05:48:59.363+00
 T-D1KVIuvjA 	3	1	19	 2013-12-22 05:48:59.71+00  	 2013-12-22 05:48:59.71+00
 T-D1KVIuvjA 	3	1	20	 2013-12-22 05:49:00.118+00 	 2013-12-22 05:49:00.119+00
 T-D1KVIuvjA 	4	-1	21	 2013-12-22 05:49:00.611+00 	 2013-12-22 05:49:00.611+00
 T-D1KVIuvjA 	4	1	22	 2013-12-22 05:49:01.118+00 	 2013-12-22 05:49:01.118+00
 T-D1KVIuvjA 	5	1	23	 2013-12-22 05:49:01.541+00 	 2013-12-22 05:49:01.541+00
 T-D1KVIuvjA 	5	1	24	 2013-12-22 05:49:01.913+00 	 2013-12-22 05:49:01.913+00
 T-D1KVIuvjA 	5	1	25	 2013-12-22 05:49:02.272+00 	 2013-12-22 05:49:02.272+00
 T-D1KVIuvjA 	6	1	26	 2013-12-22 05:49:02.64+00  	 2013-12-22 05:49:02.64+00
 T-D1KVIuvjA 	6	1	27	 2013-12-22 05:49:02.993+00 	 2013-12-22 05:49:02.993+00
 T-D1KVIuvjA 	6	1	28	 2013-12-22 05:49:03.385+00 	 2013-12-22 05:49:03.385+00
 T-D1KVIuvjA 	7	1	29	 2013-12-22 05:49:03.639+00 	 2013-12-22 05:49:03.639+00
 T-D1KVIuvjA 	7	1	30	 2013-12-22 05:49:03.872+00 	 2013-12-22 05:49:03.872+00
 T-D1KVIuvjA 	7	1	31	 2013-12-22 05:49:04.094+00 	 2013-12-22 05:49:04.095+00
 T-D1KVIuvjA 	7	1	32	 2013-12-22 05:49:04.312+00 	 2013-12-22 05:49:04.312+00
 T-D1KVIuvjA 	7	1	33	 2013-12-22 05:49:04.52+00  	 2013-12-22 05:49:04.52+00
 T-D1KVIuvjA 	8	1	34	 2013-12-22 05:49:04.72+00  	 2013-12-22 05:49:04.72+00
 T-D1KVIuvjA 	8	1	35	 2013-12-22 05:49:04.945+00 	 2013-12-22 05:49:04.945+00
 T-D1KVIuvjA 	8	1	36	 2013-12-22 05:49:05.29+00  	 2013-12-22 05:49:05.29+00
 T-D1KVIuvjA 	8	1	37	 2013-12-22 05:49:05.676+00 	 2013-12-22 05:49:05.676+00
 T-D1KVIuvjA 	9	1	38	 2013-12-22 05:49:06.213+00 	 2013-12-22 05:49:06.213+00
 T-D1KVIuvjA 	9	1	39	 2013-12-22 05:49:06.584+00 	 2013-12-22 05:49:06.584+00
 T-D1KVIuvjA 	9	1	40	 2013-12-22 05:49:06.953+00 	 2013-12-22 05:49:06.953+00
 T-D1KVIuvjA 	9	1	41	 2013-12-22 05:49:07.219+00 	 2013-12-22 05:49:07.219+00
 T-D1KVIuvjA 	10	1	42	 2013-12-22 05:49:07.584+00 	 2013-12-22 05:49:07.585+00
 T-D1KVIuvjA 	10	1	43	 2013-12-22 05:49:07.961+00 	 2013-12-22 05:49:07.962+00
 T-D1KVIuvjA 	10	1	44	 2013-12-22 05:49:08.428+00 	 2013-12-22 05:49:08.428+00
 T-D1KVIuvjA 	10	1	45	 2013-12-22 05:49:08.801+00 	 2013-12-22 05:49:08.801+00
 T-D1KVIuvjA 	11	1	46	 2013-12-22 05:49:09.204+00 	 2013-12-22 05:49:09.204+00
 T-D1KVIuvjA 	11	1	47	 2013-12-22 05:49:09.493+00 	 2013-12-22 05:49:09.494+00
 T-D1KVIuvjA 	11	1	48	 2013-12-22 05:49:09.881+00 	 2013-12-22 05:49:09.881+00
 T-D1KVIuvjA 	11	1	49	 2013-12-22 05:49:10.289+00 	 2013-12-22 05:49:10.289+00
 T-D1KVIuvjA 	11	1	50	 2013-12-22 05:49:10.812+00 	 2013-12-22 05:49:10.812+00
 T-D1KVIuvjA 	12	1	51	 2013-12-22 05:49:11.188+00 	 2013-12-22 05:49:11.189+00
 T-D1KVIuvjA 	12	1	52	 2013-12-22 05:49:11.561+00 	 2013-12-22 05:49:11.562+00
 T-D1KVIuvjA 	12	1	53	 2013-12-22 05:49:11.838+00 	 2013-12-22 05:49:11.838+00
 T-D1KVIuvjA 	12	1	54	 2013-12-22 05:49:12.225+00 	 2013-12-22 05:49:12.225+00
 T-D1KVIuvjA 	13	1	55	 2013-12-22 05:49:12.621+00 	 2013-12-22 05:49:12.622+00
 T-D1KVIuvjA 	13	1	56	 2013-12-22 05:49:13.095+00 	 2013-12-22 05:49:13.095+00
 T-D1KVIuvjA 	13	1	57	 2013-12-22 05:49:13.491+00 	 2013-12-22 05:49:13.491+00
 T-D1KVIuvjA 	13	1	58	 2013-12-22 05:49:13.865+00 	 2013-12-22 05:49:13.866+00
 T-D1KVIuvjA 	13	1	59	 2013-12-22 05:49:14.154+00 	 2013-12-22 05:49:14.154+00
 T-D1KVIuvjA 	14	-1	60	 2013-12-22 05:49:14.576+00 	 2013-12-22 05:49:14.576+00
 T-D1KVIuvjA 	15	-1	61	 2013-12-22 05:49:14.95+00  	 2013-12-22 05:49:14.95+00
 T-D1KVIuvjA 	15	-1	62	 2013-12-22 05:49:15.433+00 	 2013-12-22 05:49:15.433+00
 T-D1KVIuvjA 	15	-1	63	 2013-12-22 05:49:15.829+00 	 2013-12-22 05:49:15.829+00
 T-D1KVIuvjA 	16	-1	64	 2013-12-22 05:49:16.215+00 	 2013-12-22 05:49:16.215+00
 T-D1KVIuvjA 	16	1	65	 2013-12-22 05:49:16.527+00 	 2013-12-22 05:49:16.527+00
 T-D1KVIuvjA 	17	1	66	 2013-12-22 05:49:16.925+00 	 2013-12-22 05:49:16.925+00
 T-D1KVIuvjA 	17	1	67	 2013-12-22 05:49:17.287+00 	 2013-12-22 05:49:17.287+00
 T-D1KVIuvjA 	17	1	68	 2013-12-22 05:49:17.761+00 	 2013-12-22 05:49:17.762+00
 T-D1KVIuvjA 	17	1	69	 2013-12-22 05:49:18.129+00 	 2013-12-22 05:49:18.129+00
 T-D1KVIuvjA 	18	1	70	 2013-12-22 05:49:18.517+00 	 2013-12-22 05:49:18.518+00
 T-D1KVIuvjA 	18	1	71	 2013-12-22 05:49:18.797+00 	 2013-12-22 05:49:18.797+00
 T-D1KVIuvjA 	44	-1	72	 2013-12-22 06:48:30.275+00 	 2013-12-22 06:48:30.279+00
 T-D1KVIuvjA 	45	-1	73	 2013-12-22 06:48:31.21+00  	 2013-12-22 06:48:31.211+00
 T-D1KVIuvjA 	46	-1	74	 2013-12-22 06:48:32.114+00 	 2013-12-22 06:48:32.114+00
 T-D1KVIuvjA 	47	-1	75	 2013-12-22 06:48:32.867+00 	 2013-12-22 06:48:32.867+00
 T-D1KVIuvjA 	48	-1	76	 2013-12-22 06:48:33.581+00 	 2013-12-22 06:48:33.581+00
 T-D1KVIuvjA 	48	-1	77	 2013-12-22 06:48:34.316+00 	 2013-12-22 06:48:34.317+00
 T-D1KVIuvjA 	49	-1	78	 2013-12-22 06:48:35.101+00 	 2013-12-22 06:48:35.101+00
 T-D1KVIuvjA 	50	-1	79	 2013-12-22 06:48:35.822+00 	 2013-12-22 06:48:35.823+00
 T-D1KVIuvjA 	51	-1	80	 2013-12-22 06:48:36.543+00 	 2013-12-22 06:48:36.543+00
 T-D1KVIuvjA 	51	-1	81	 2013-12-22 06:48:37.312+00 	 2013-12-22 06:48:37.312+00
 T-D1KVIuvjA 	52	-1	82	 2013-12-22 06:48:38.02+00  	 2013-12-22 06:48:38.02+00
 T-D1KVIuvjA 	53	-1	83	 2013-12-22 06:48:38.665+00 	 2013-12-22 06:48:38.665+00
 T-D1KVIuvjA 	53	1	84	 2013-12-22 06:48:39.227+00 	 2013-12-22 06:48:39.227+00
 T-D1KVIuvjA 	54	1	85	 2013-12-22 06:48:39.859+00 	 2013-12-22 06:48:39.86+00
 T-D1KVIuvjA 	55	1	86	 2013-12-22 06:48:40.55+00  	 2013-12-22 06:48:40.55+00
 T-D1KVIuvjA 	55	-1	87	 2013-12-22 06:48:41.254+00 	 2013-12-22 06:48:41.257+00
 T-D1KVIuvjA 	56	1	88	 2013-12-22 06:48:41.827+00 	 2013-12-22 06:48:41.827+00
 T-D1KVIuvjA 	56	1	89	 2013-12-22 06:48:42.288+00 	 2013-12-22 06:48:42.289+00
 T-D1KVIuvjA 	57	1	90	 2013-12-22 06:48:42.652+00 	 2013-12-22 06:48:42.653+00
 T-D1KVIuvjA 	57	1	91	 2013-12-22 06:48:43.035+00 	 2013-12-22 06:48:43.036+00
T-D1KVIuvjA 	0	1	95	 2013-12-22 18:27:55.812+00 	 2013-12-22 18:27:55.814+00
 T-D1KVIuvjA 	0	1	96	 2013-12-22 18:27:56.064+00 	 2013-12-22 18:27:56.065+00
 T-D1KVIuvjA 	1	1	97	 2013-12-22 18:27:58.592+00 	 2013-12-22 18:27:58.593+00
 T-D1KVIuvjA 	1	1	98	 2013-12-22 18:27:58.761+00 	 2013-12-22 18:27:58.761+00
 T-D1KVIuvjA 	1	1	99	 2013-12-22 18:27:58.919+00 	 2013-12-22 18:27:58.919+00
 T-D1KVIuvjA 	1	1	100	 2013-12-22 18:27:59.064+00 	 2013-12-22 18:27:59.064+00
 T-D1KVIuvjA 	1	1	101	 2013-12-22 18:27:59.234+00 	 2013-12-22 18:27:59.235+00
 T-D1KVIuvjA 	1	1	102	 2013-12-22 18:27:59.619+00 	 2013-12-22 18:27:59.619+00
 T-D1KVIuvjA 	2	1	103	 2013-12-22 18:27:59.621+00 	 2013-12-22 18:27:59.621+00
 T-D1KVIuvjA 	2	1	104	 2013-12-22 18:28:00.707+00 	 2013-12-22 18:28:00.707+00
 T-D1KVIuvjA 	2	1	105	 2013-12-22 18:28:04.507+00 	 2013-12-22 18:28:04.508+00
 T-D1KVIuvjA 	2	1	106	 2013-12-22 18:28:04.747+00 	 2013-12-22 18:28:04.747+00
 T-D1KVIuvjA 	0	1	107	 2013-12-22 18:28:31.78+00  	 2013-12-22 18:28:31.782+00
 T-D1KVIuvjA 	1	1	108	 2013-12-22 18:28:32.599+00 	 2013-12-22 18:28:32.6+00
 T-D1KVIuvjA 	1	1	109	 2013-12-22 18:28:32.788+00 	 2013-12-22 18:28:32.789+00
 T-D1KVIuvjA 	2	1	110	 2013-12-22 18:28:32.967+00 	 2013-12-22 18:28:32.967+00
 T-D1KVIuvjA 	2	1	111	 2013-12-22 18:28:33.135+00 	 2013-12-22 18:28:33.135+00
 T-D1KVIuvjA 	2	1	112	 2013-12-22 18:28:33.326+00 	 2013-12-22 18:28:33.327+00
 T-D1KVIuvjA 	2	1	113	 2013-12-22 18:28:34.913+00 	 2013-12-22 18:28:34.914+00
 T-D1KVIuvjA 	2	1	114	 2013-12-22 18:28:37.806+00 	 2013-12-22 18:28:37.806+00
 T-D1KVIuvjA 	2	1	115	 2013-12-22 18:28:38.038+00 	 2013-12-22 18:28:38.038+00
 T-D1KVIuvjA 	3	1	116	 2013-12-22 18:28:40.605+00 	 2013-12-22 18:28:40.606+00
 T-D1KVIuvjA 	3	1	117	 2013-12-22 18:28:41.992+00 	 2013-12-22 18:28:41.993+00
 T-D1KVIuvjA 	3	1	118	 2013-12-22 18:28:42.765+00 	 2013-12-22 18:28:42.765+00
 T-D1KVIuvjA 	3	1	119	 2013-12-22 18:28:42.995+00 	 2013-12-22 18:28:42.995+00
 T-D1KVIuvjA 	3	1	120	 2013-12-22 18:28:44.494+00 	 2013-12-22 18:28:44.495+00
 T-D1KVIuvjA 	4	1	121	 2013-12-22 18:28:44.656+00 	 2013-12-22 18:28:44.657+00
 T-D1KVIuvjA 	4	1	122	 2013-12-22 18:28:44.811+00 	 2013-12-22 18:28:44.813+00
 T-D1KVIuvjA 	4	1	123	 2013-12-22 18:28:44.966+00 	 2013-12-22 18:28:44.967+00
 T-D1KVIuvjA 	4	1	124	 2013-12-22 18:28:45.12+00  	 2013-12-22 18:28:45.12+00
 T-D1KVIuvjA 	4	1	125	 2013-12-22 18:28:45.277+00 	 2013-12-22 18:28:45.277+00
 T-D1KVIuvjA 	5	1	126	 2013-12-22 18:28:46.774+00 	 2013-12-22 18:28:46.775+00
 T-D1KVIuvjA 	5	1	127	 2013-12-22 18:28:46.867+00 	 2013-12-22 18:28:46.867+00
 T-D1KVIuvjA 	5	1	128	 2013-12-22 18:28:47.097+00 	 2013-12-22 18:28:47.097+00
